,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
17,South Korea : Players,Kim Seunggyu,Song Bum-keun,Jo Hyeonwoo,Jin-Su Kim,Kim Min-jae,Yoon Jong-gyu,Hong Chul,Kim Younggwon,Jung Wooyoung,Kim Moon-hwan,Hwang In-beom,Seung-ho Paik,Lee Jae-sung,Son Jun-ho,Kwon Kyung-won,Changhoon Kwon,Kim Tae-hwan,Cho Yu-min,Wooyeong Jeong,Lee Kang-in,Son Heungmin,Cho Gue-sung,Heechan Hwang,Hwang Ui-jo,Na Sang-ho,Song Min-kyu,
18,USA : Players,Matt TURNER,Ethan HORVATH,Sean JOHNSON,Sergino DEST,Walker ZIMMERMAN,Antonee ROBINSON,Tim REAM,Aaron LONG,Shaquell,,,,,,,,,,,,,,,,,,
19,Australia : Players,Ryan M.,Andrew Redmayne,Daniel Vukovic,Miloš Degenek,Nathaniel Atkinson,Kye Rowles,Fran Karačić,Bailey Wright,Aziz Behich,Harry Souttar,Thomas Deng,Joel King,Keanu Baccus,Ajdin Hrustic,Mooy,Riley McGree,Cameron Devlin,Jackson Irvine,Craig Goodwin,Martin Boyle,Marco Tilio,Mathew Leckie,Jamie Maclaren,Mabil,Mitchell Duke,Garang Kuol,Jason Cummings
20,Ghana : Players,Ibrahim Danlad,Nurudeen,Lawrence Ati-Zigi,Denis Odoi,Joseph Aidoo,Mohammed Salisu,Gideon Mensah,Tariq Lamptey,Alidu Seidu,Rahman Baba,Alexander Djiku,Daniel Amartey,Elisha Owusu,Kamal Sowah,Abdul Samed,Partey T.,Fatawu,Andre Ayew,Mohammed Kudus,Sulemana,Inaki Williams,Antoine Semenyo,Osman Bukari,Daniel Afriyie,Daniel-Kofi Kyereh,Jordan Ayew,
21,Cameroon : Players,Simon Ngapandouetnbu,Devis Epassy,André Onana,Nicolas Nkoulou,Christopher Wooh,Enzo Ebosse,Olivier Mbaizo,Martin Hongla,Collins Fai,Jean-Charles Castelletto,Nouhou Tolo,Gael Ondoua,Kevin-Georges Nkoudou,Olivier Ntcham,Mbekeli Jerome,Zambo Anguissa André-Frank,Christian Bassogog,Gouet,Pierre Kunde,Jean-Pierre Nsamé,Bryan Mbeumo,Souaibou Marou,Ngamaleu,Vincent Aboubakar,Toko Ekambi,Choupo-Moting,
22,Brazil : Players,Alisson,Weverton,Ederson,Daniel Alves,Telles,Bremer,Danilo,Thiago Silva,Marquinhos,Alex Sandro,Éder Militão,Fabinho,Bruno Guimarães,Casimiro,Ribeiro E.,Lucas Paqueta,Raphinha,Fred,Gabriel Martinelli,Rodrygo,Pedro Ab.,Antony M.,Richarlison,Gabriel Jesus,Neymar,Vinícius Júnior,
23,Switzerland : Players,Yann Sommer,Jonas Omlin,Gregor Kobel,Philipp Köhn,Fabian Rieder,Silvan Widmer,Nico Elvedi,Manuel Akanji,Ricardo Rodriguez,Eray Cömert,Fabian Schär,Michel Aebischer,Fabian Frei,Renato Steffen,Denis Zakaria,Remo Freuler,Noah Okafor,Granit Xhaka,Djibril Sow,Ardon Jasari,Edimilson Fernandes,Xherdan Shaqiri,Breel Embolo,Haris Seferovic,Ruben Vargas,Christian Fassnacht,
24,Canada : Players,Dayne ST. CLAIR,James PANTEMIS,Milan BORJAN,Alistair JOHNSTON,Sam ADEKUGBE,Kamal MILLER,Steven VITORIA,Richie LARYEA,Derek CORNELIUS,Joel WATERMAN,Samuel PIETTE,Stephen EUSTAQUIO,Liam FRASER,Junior HOILETT,Atiba HUTCHINSON,Mark-Anthony KAYE,Ismael KONE,Jonathan OSORIO,Liam MILLAR,David WOTHERSPOON,Lucas CAVALLINI,Tajon BUCHANAN,Ike UGBO,Cyle LARIN,Alphonso DAVIES,Jonathan DAVID,
25,Costa Rica : Players,Alvarado,Sequeira P.,Keylor Navas,Keysher Fuller,Carlos Martinez,Óscar Duarte,Bryan Oviedo,Calvo F.,Waston,Matarrita,Vargas J. P.,Gerson Torres,Daniel Chacon,Youstin Salas,Roan Wilson,Brandon Aguilera,Douglas Lopez,Alvaro Zamora,Venegas,Yeltsin Tejeda,Jewison Bennette,Anthony Hernandez,Borges C.,Anthony Contreras,Ruiz,Joel Campbell,
26,Saudi Arabia : Players,Mohammed Al-Rubai,Mohammed Al-Owais,Nawaf Al-Aqidi,Sultan Al-Ghannam,Abdullah Madu,Abdulelah Al-Amri,Ali Al-Bulayhi,Mohammed Al-Breik,Saud Abdulhamid,Yasser Al-Shahrani,Hassan Tambakti,Nasser Al-Dawsari,Ali Al-Hassan,Riad Sharahili,Salman Al-Faraj,Abdulelah Al-Malki,Salem Al-Dawsari,Abdullah Otayf,Nawaf Al-Abed,Hattan Bahebri,Mohamed Kanno,Sami Al-Najei,Abdulrahman Al-Oboud,Firas Al-Buraikan,Saleh Al-Shehri,Muhannad Assiri,
27,Tunisia : Players,Aymen Balbouli,Aymen Dahmen,Ben Saïd,Mouez Hassen,Bilel Ifa,Montassar Talbi,Yassine Meriah,Dylan Bronn,Ali Maâloul,Aïssa Laïdouni,Ali Abdi,Nader Ghandri,Wajdi Kechrida,Youssef Msakni,Hannibal Mejbri,Wahbi Khazri,Ferjani Sassi,Ben Romdhane,Ellyes Skhiri,Mohamed Dräger,Ghailene Chaalali,Naïm Sliti,Slimane A.,Issam Jebali,Khenissi,Seifeddine Jaziri,
28,Belgium : Players,Thibaut Courtois,Simon Mignolet,Koen Casteels,Toby Alderweireld,Arthur Theate,Wout Faes,Jan Vertonghen,Thomas Meunier,Amadou Onana,Leander Dendoncker,Timothy Castagne,Debast,Axel Witsel,Kevin De Bruyne,Youri Tielemans,Carrasco,Dries Mertens,Thorgan Hazard,Hans Vanaken,Charles De Ketelaere,Eden Hazard,Romelu Lukaku,Leandro Trossard,Michy Batshuayi,Lois Openda,Jeremy Doku,
29,Poland : Players,Wojciech Szczesny,Łukasz Skorupski,Kamil Grabara,Artur Jedrzejczyk,Mateusz Wieteska,Bednarek,Krystian Bielik,Grzegorz Krychowiak,Jakub Kiwior,Kamil Glik,Bartosz Bereszyński,Robert Gumny,Matty Cash,Damian Szymanski,Jakub Kamiński,Szymon Zurkowski,Sebastian Szymanski,Piotr Zielinski,Przemyslaw Frankowski,Michał Skóraś,Nicola Zalewski,Arkadiusz Milik,Robert Lewandowski,Kamil Grosicki,Karol Świderski,Krzysztof Piątek,
30,Denmark : Players,Kasper Schmeichel,Oliver Christensen,Frederik Roennow,Joachim Andersen,Simon Kjaer,Andreas Christensen,Rasmus Kristensen,Joakim Mæhle,Wind,Victor Nelsson,Mathias Jensen,Thomas Delaney,Christian Eriksen,Skov Olsen,Damsgaard M.,Christian Nørgaard,Larsen J.,Daniel Wass,Pierre-Emile Hojbjerg,Robert Skov,Jesper Lindstrøm,Martin Braithwaite,Kasper Dolberg,Yussuf Poulsen,Andreas Cornelius,Alexander Bah,
31,Ecuador : Players,Hernán Galíndez,Moisés Ramírez,Alexander Dominguez,Piero Hincapié,Arboleda,Pervis Estupiñán,Xavier Arreaga,Angelo Preciado,Palacios D.,Jackson Porozo,Félix Torres,José Cifuentes,William Pacho,Gruezo,Ayrton Preciado,Mena,Jeremy Sarmiento,Jhegson Méndez,Alan Franco,Moisés Caicedo,Romario Ibarra,Michael Estrada,Enner Valencia,Gonzalo Plata,Djorkaeff Reasco,Kevin Rodríguez,
